group_id,num_replicates,stress_min,stress_max,stress_range,strain_min,strain_max,strain_range
74,3,3.14,3.28,0.13999999999999968,0.0552,0.0566,0.0013999999999999985
75,2,3.26,3.27,0.010000000000000231,0.0143,0.0144,9.99999999999994e-05
76,5,2.48,3.269,0.7890000000000001,0.0068,0.0424,0.0356
77,2,2.63,3.27,0.6400000000000001,0.0065,0.0143,0.0078000000000000005
78,3,2.74,3.23,0.48999999999999977,0.0699,0.072,0.0020999999999999908
79,4,2.78,2.95,0.17000000000000037,0.0053,0.0249,0.0196
80,3,2.56,2.86,0.2999999999999998,0.0549,0.0689,0.014000000000000005
81,3,3.16,3.59,0.4299999999999997,0.0087,0.0246,0.0159
82,3,4.65,4.74,0.08999999999999986,0.0671,0.0737,0.006599999999999995
83,6,8.11,9.11,1.0,0.0841,0.1346,0.0505
84,3,8.16,9.0,0.8399999999999999,0.0506,0.0549,0.004299999999999998
85,6,9.34,11.06,1.7200000000000006,0.0316,0.074,0.04239999999999999
86,2,5.278451984,7.068571476,1.7901194919999996,0.035431037,0.043892908,0.008461871000000003
87,3,3.984733204,7.285714301,3.3009810969999998,0.004428365,0.045065124,0.040636758999999995
88,3,2.915524898,6.154779871,3.2392549729999995,0.001913044,0.039051721,0.037138676999999995
89,2,2.984018312,4.133587196,1.1495688839999998,0.001565217,0.00308249,0.0015172729999999998
90,6,2.42,3.4,0.98,0.0133,0.051,0.0377
91,4,2.46,3.37,0.9100000000000001,0.027,0.0584,0.0314
92,11,1.998,2.58,0.5820000000000001,0.019,0.0756,0.0566
93,4,2.54,2.809,0.26900000000000013,0.0196,0.028,0.008400000000000001
94,6,2.04,2.69,0.6499999999999999,0.015,0.0366,0.0216
95,6,2.19,2.62,0.43000000000000016,0.0137,0.0428,0.029099999999999997
96,6,1.64,2.22,0.5800000000000003,0.0113,0.0227,0.011400000000000002
97,6,1.96,2.54,0.5800000000000001,0.008,0.105,0.097
98,4,1.77,2.08,0.31000000000000005,0.0024,0.0083,0.005900000000000001
99,2,4.31,4.354953117,0.044953117000000375,0.00023,0.000257669,2.766899999999997e-05
100,2,4.008353573,4.09,0.08164642699999991,0.00019,0.000497512,0.00030751199999999997
101,2,4.35,5.25,0.9000000000000004,0.0132,0.0382,0.024999999999999998
102,2,3.81,4.011,0.20100000000000007,0.0075,0.0207,0.0132
103,2,4.102,4.32,0.21799999999999997,0.0171,0.0692,0.052099999999999994
104,2,3.57,3.74,0.17000000000000037,0.0168,0.0215,0.004699999999999999
105,2,3.06,3.12,0.06000000000000005,0.0723,0.0778,0.005499999999999991
106,2,3.61,3.86,0.25,0.0415,0.0465,0.0049999999999999975
