config,MAE_overall,RMSE_overall,Cov80,Width80,MAE_NoPSH,Cov_NoPSH,MAE_Bulk,Cov_Bulk,MAE_Tail,Cov_Tail
A_Global only,0.007938036252354444,0.011937738661492597,0.8623188405797102,0.03719196874076105,0.0037327073299832625,0.8450704225352113,0.007856076491164916,0.8961748633879781,0.022191535788083448,0.6363636363636364
B_NoPSH only,0.007969284368821388,0.012018421617480676,0.8478260869565217,0.037750622185462074,0.0036090999755653036,0.7605633802816901,0.007966462607818178,0.907103825136612,0.02206426046812908,0.6363636363636364
C_Bulk only,0.008337814756023142,0.012175213810087154,0.8695652173913043,0.03814056209163907,0.0040999210531637836,0.8591549295774648,0.00845697968846496,0.8961748633879781,0.021023417949939584,0.6818181818181818
D_Tail only,0.007966408670294644,0.011861080947847007,0.8405797101449275,0.03699425710540362,0.0037921295496344946,0.8169014084507042,0.007942664756413195,0.8743169398907104,0.02163545202516626,0.6363636363636364
E_NoPSH+Bulk,0.008356801141032226,0.012260919371414138,0.8514492753623188,0.039141448040594655,0.0038693978000612222,0.7605633802816901,0.008590353733665972,0.907103825136612,0.02089614262998522,0.6818181818181818
F_NoPSH+Tail,0.007997751313681507,0.011943413622961497,0.8333333333333334,0.03789987433583048,0.003664652083869502,0.7464788732394366,0.008054694956867212,0.8907103825136612,0.021508176705211903,0.6363636363636364
G_Bulk+Tail,0.0084042201780669,0.012152590745837372,0.8768115942028986,0.03821347380031615,0.0041595233273040684,0.8732394366197183,0.008600859348597719,0.9016393442622951,0.020467334187022398,0.6818181818181818
H_Full MoE,0.00842577436591242,0.012239475032964457,0.8586956521739131,0.03904796951562259,0.00393637228223821,0.7746478873239436,0.008735245890040539,0.912568306010929,0.02034005886706803,0.6818181818181818
