config,MAE,RMSE,R2,Cov80,Width80,MAE_Weak,R2_Weak,Cov_Weak,MAE_Mid,R2_Mid,Cov_Mid,MAE_Strong,R2_Strong,Cov_Strong
A_Global only,0.4898289245483474,0.7292492930333949,0.7470966650632269,0.8297101449275363,2.477213021598822,0.46616454258590045,-0.31366619412394825,0.8,0.39578824302610266,-1.6069167596379104,0.968421052631579,0.6114075962102536,0.3424042284767138,0.7142857142857143
B_Low only,0.48657206928610774,0.7208139536522059,0.7529135708272281,0.822463768115942,2.4987290960405777,0.43992559675426435,-0.18292687543892527,0.8222222222222222,0.3905057396028959,-1.5744938133036404,0.9578947368421052,0.632994968712163,0.3197847507295004,0.6813186813186813
C_Mid only,0.49047899518931276,0.7305085025431612,0.7462225244047977,0.8333333333333334,2.5111146323226134,0.45065606438847405,-0.2617426428328624,0.8222222222222222,0.39672827834337426,-1.604876392214445,0.9473684210526315,0.6277359388424956,0.3162283424391006,0.7252747252747253
D_High only,0.49734232993116456,0.7353524257112249,0.7428458239386863,0.8260869565217391,2.504932562397711,0.46471108128133287,-0.28215648753710365,0.8,0.4022540514276525,-1.6223409369422992,0.968421052631579,0.6288829764841153,0.306840652013177,0.7032967032967034
E_Low+Mid,0.49356133543351816,0.7255413209496288,0.7496619727880582,0.8188405797101449,2.5049024202242207,0.4351166364264175,-0.14229509818433206,0.7888888888888889,0.3971599041322149,-1.6261984850537785,0.9473684210526315,0.6520026418539894,0.2899795404410299,0.7142857142857143
F_Low+High,0.4978614834802285,0.7298555510619528,0.7466759902361119,0.8115942028985508,2.475744880361368,0.44498568976615965,-0.15984265811490395,0.7888888888888889,0.39898336220047076,-1.6255676075202787,0.9473684210526315,0.653380636841143,0.27983685944354364,0.6923076923076923
G_Mid+High,0.5040538027527858,0.7405588053680271,0.7391915710866475,0.822463768115942,2.525077676229583,0.4545292671604593,-0.23864544471995908,0.8111111111111111,0.4074909094628497,-1.6689251793116093,0.9473684210526315,0.6538415287511739,0.2730386791439636,0.7032967032967034
H_Full MoE,0.5092888254755287,0.7384934606021545,0.7406442800033326,0.8115942028985508,2.493869468744473,0.44173538281510155,-0.12762338933425177,0.8,0.41074505744000134,-1.7258968890631925,0.9473684210526315,0.678975284847106,0.24240556232347277,0.6813186813186813
