trial,MAE,R2,Cov80
0,0.5298074710086744,0.7097457181163664,0.855072463768116
1,0.6139191416451901,0.6414472995979023,0.8369565217391305
2,0.6830643139651708,0.5540781035024376,0.8079710144927537
3,0.6622217631744118,0.5712564219863885,0.8188405797101449
4,0.6659162520478178,0.5687886037808794,0.822463768115942
5,0.5779521635694979,0.6817307879825609,0.8007246376811594
6,0.6031773789148367,0.6503552139425477,0.7717391304347826
7,0.4898289245483474,0.7470966650632269,0.8297101449275363
