config,MAE,RMSE,R2,Cov80,Width80,MAE_NoPSH,R2_NoPSH,Cov_NoPSH,MAE_Bulk,R2_Bulk,Cov_Bulk,MAE_Tail,R2_Tail,Cov_Tail
A_Global only,0.007798205698333742,0.012083739143167776,0.5672845274385666,0.855072463768116,0.035686288318276235,0.0032828662770565125,-35.37747277328275,0.8169014084507042,0.007944445650388855,0.26069137307865764,0.9016393442622951,0.02115398695672455,-3.7495165925682112,0.5909090909090909
B_Low only,0.007906382679504411,0.012088424071223604,0.5669489303490491,0.8188405797101449,0.035629938810091834,0.0036745188610215725,-36.395678417995725,0.6901408450704225,0.007965291243023198,0.26156186568626083,0.8961748633879781,0.021073749224429124,-3.7372581255683848,0.5909090909090909
C_Mid only,0.008165865205309368,0.012258331865473046,0.5546899557327608,0.8768115942028986,0.037001440269403385,0.003694193771067571,-39.50753480684605,0.8591549295774648,0.008486793062576417,0.1864182867785784,0.907103825136612,0.019927632203095638,-3.4223488004170983,0.6818181818181818
D_High only,0.007861872723096734,0.012109904288841388,0.565408564844874,0.8333333333333334,0.03526181591982973,0.0033278703849442567,-35.93146213842517,0.7605633802816901,0.008044792090989756,0.23096022106214398,0.8852459016393442,0.02097277825420594,-3.5667476667528177,0.6363636363636364
E_Low+Mid,0.008264171247593669,0.01226544404118595,0.5541730759346328,0.8514492753623188,0.03700555860748963,0.0040616042490421896,-40.575730978356134,0.7605633802816901,0.008502156744788264,0.18689595739788833,0.907103825136612,0.019847394470800216,-3.4105482889626355,0.6818181818181818
F_Low+High,0.007971268313217046,0.012113304181366698,0.5651645048503402,0.8079710144927537,0.035213077098788285,0.0037246676596957417,-36.948824039944235,0.6901408450704225,0.008065479558073638,0.23187398046008678,0.8743169398907104,0.020892540521910516,-3.552479373368649,0.6363636363636364
G_Mid+High,0.008265241878657598,0.012328734502027632,0.5495602154338683,0.8804347826086957,0.03714425365432612,0.0037358819041290233,-40.19266836080144,0.8591549295774648,0.008642283203845035,0.14711063214747577,0.912568306010929,0.019746423500577027,-3.249899994303571,0.6818181818181818
H_Full MoE,0.008366400889746911,0.012334565610195102,0.5491340266392836,0.8586956521739131,0.037199951576451167,0.004110379195204825,-41.26083313855508,0.7746478873239436,0.008659200195674371,0.1476315695571253,0.912568306010929,0.019666185768281608,-3.2360896564647668,0.6818181818181818
