config,MAE,RMSE,R2,Cov80,Width80,MAE_NoPSH,R2_NoPSH,Cov_NoPSH,MAE_Bulk,R2_Bulk,Cov_Bulk,MAE_Tail,R2_Tail,Cov_Tail
A_Global only,0.007456704618884512,0.012578727449654431,0.53110764063132,0.8804347826086957,0.03781724000575803,0.0024271168339055006,-33.99668446688766,0.8591549295774648,0.00789073496240195,0.09926523099920892,0.9180327868852459,0.020078212794785354,-3.540713050556503,0.6363636363636364
B_Low only,0.007485070080822194,0.012578760518451628,0.5311051752425462,0.8840579710144928,0.03790513092543335,0.0025422317407862867,-34.152505908090696,0.8732394366197183,0.007893526081357965,0.09861013534199825,0.9180327868852459,0.020039346173754167,-3.5318545136970414,0.6363636363636364
C_Mid only,0.007900370233744465,0.012799075257990433,0.5145361149706195,0.8804347826086957,0.03825483690036968,0.0028511665156817248,-37.67268669454445,0.8873239436619719,0.008517235877231202,0.010698163560854956,0.9016393442622951,0.01906432710757998,-3.22374808374495,0.6818181818181818
D_High only,0.0075572527721487846,0.012625093165205893,0.5276445561345822,0.8768115942028986,0.0376840386541526,0.0024866321308080717,-34.200733086264115,0.8873239436619719,0.008021449117259653,0.06967292220769605,0.907103825136612,0.020060258880326146,-3.4089875975822217,0.5909090909090909
E_Low+Mid,0.00792922557179222,0.012803178158763367,0.5142248222625814,0.8876811594202898,0.038317612865380685,0.00294964325735169,-37.83576642354666,0.9014084507042254,0.008526495721128078,0.009113327243466585,0.907103825136612,0.019031494071647472,-3.215856450706127,0.6818181818181818
F_Low+High,0.007588908122637369,0.012625770149672842,0.5275938973603835,0.8768115942028986,0.03786203778296813,0.0025960672182805114,-34.35412294531005,0.8873239436619719,0.008027319790885818,0.06895489907958918,0.907103825136612,0.020055379437176953,-3.40097223074726,0.5909090909090909
G_Mid+High,0.008024502077699674,0.012883286797856346,0.50812687821487,0.8768115942028986,0.038191707821070106,0.002898851794344097,-37.9753269468243,0.8873239436619719,0.008677434617931974,-0.027366484427986837,0.8961748633879781,0.01913516186205126,-3.1033497000865617,0.6818181818181818
H_Full MoE,0.008058282206067354,0.01288800341099769,0.507766659593376,0.8840579710144928,0.03822479983354436,0.0029950292384489266,-38.136678408589695,0.9014084507042254,0.008690928201402728,-0.029014248216270966,0.9016393442622951,0.019136316004000745,-3.096301237072238,0.6818181818181818
