config,MAE,RMSE,R2,Cov80,Width80,MAE_Weak,R2_Weak,Cov_Weak,MAE_Mid,R2_Mid,Cov_Mid,MAE_Strong,R2_Strong,Cov_Strong
A_Global only,0.5379585910519914,0.7919576432271672,0.7017321581500191,0.8623188405797102,2.769251858660262,0.5958235473706127,-0.7107053532289154,0.8555555555555555,0.36529376885284354,-1.2373499409344269,1.0,0.6609839980876301,0.2042540326127733,0.7252747252747253
B_Low only,0.548050496681492,0.7973446304547018,0.6976606531425883,0.8586956521739131,2.776051001597239,0.595452867988215,-0.6718351263328879,0.8444444444444444,0.3763746245752251,-1.337219601874652,1.0,0.6803910948407259,0.17535594710407476,0.7252747252747253
C_Mid only,0.5438644648473862,0.7941798973218128,0.7000559147461412,0.855072463768116,2.770133388270295,0.5840590014121553,-0.6502669231704965,0.8444444444444444,0.3705235111406391,-1.3063013886969634,0.9894736842105263,0.6850719627738892,0.1772680213857385,0.7252747252747253
D_High only,0.5518169466890911,0.8064196190319836,0.6907393298112106,0.8405797101449275,2.7259698516231006,0.5948115275070822,-0.6671638216889149,0.8333333333333334,0.3742002350380095,-1.3269990626441088,0.9894736842105263,0.6947188734279215,0.13266163285228005,0.6923076923076923
E_Low+Mid,0.5574916661149667,0.8023930763936623,0.6938199652686355,0.855072463768116,2.785912806229948,0.5887986892994823,-0.620755114361325,0.8444444444444444,0.3856610024169255,-1.4612328036868671,0.9894736842105263,0.7059123360568074,0.14531881065990193,0.7252747252747253
F_Low+High,0.5650365514980038,0.8141919340070188,0.6847492605299275,0.8405797101449275,2.733573908683529,0.5968664539379637,-0.6362714060130712,0.8333333333333334,0.38866050555372567,-1.461691106566974,0.9894736842105263,0.717685267378334,0.09950607854858651,0.6923076923076923
G_Mid+High,0.5624064617813065,0.811497377359457,0.6868324433784581,0.8297101449275363,2.7235222334358866,0.5855364497513575,-0.6133065819253569,0.8111111111111111,0.38559015846661654,-1.4349482926950117,0.9789473684210527,0.7241190980185693,0.09948706240859417,0.6923076923076923
H_Full MoE,0.5781523111786733,0.8219946992463282,0.6786779296271002,0.8333333333333334,2.7495207610153503,0.5905475388214282,-0.591772584336369,0.8222222222222222,0.4037077071436476,-1.624702090667554,0.9789473684210527,0.7480057935465796,0.06328038288776272,0.6923076923076923
