trial,MAE,R2,Cov80
0,0.007761750310261693,0.568645513252257,0.8405797101449275
1,0.008259484129869543,0.5462438706177484,0.8043478260869565
2,0.009105201629994874,0.5005286834138636,0.8586956521739131
3,0.008890642384520456,0.5099775258111996,0.8731884057971014
4,0.008929959228611473,0.5066125194748744,0.8804347826086957
5,0.008007497624361452,0.5483166796130519,0.855072463768116
6,0.008174756468628109,0.5524528593448226,0.8623188405797102
7,0.007456704618884512,0.53110764063132,0.8804347826086957
